iter	Passed	Remaining
0	19	1978
1	38	1872
2	55	1792
3	74	1783
4	91	1735
5	108	1697
6	126	1681
7	143	1647
8	159	1609
9	175	1581
10	193	1562
11	210	1541
12	226	1518
13	244	1503
14	261	1479
15	278	1462
16	294	1439
17	313	1427
18	330	1409
19	348	1392
20	366	1376
21	383	1359
22	404	1353
23	421	1333
24	439	1318
25	456	1298
26	473	1280
27	490	1260
28	507	1242
29	522	1218
30	540	1202
31	556	1183
32	572	1161
33	588	1142
34	605	1124
35	621	1104
36	638	1086
37	654	1067
38	670	1048
39	688	1032
40	705	1015
41	722	997
42	739	979
43	755	962
44	772	943
45	789	926
46	807	910
47	824	893
48	840	874
49	857	857
50	873	839
51	889	821
52	907	804
53	926	789
54	943	772
55	961	755
56	978	738
57	994	720
58	1011	703
59	1028	685
60	1044	667
61	1059	649
62	1076	631
63	1094	615
64	1111	598
65	1130	582
66	1147	565
67	1163	547
68	1179	529
69	1195	512
70	1211	494
71	1229	478
72	1246	461
73	1261	443
74	1279	426
75	1295	409
76	1312	391
77	1327	374
78	1345	357
79	1362	340
80	1379	323
81	1397	306
82	1413	289
83	1433	273
84	1451	256
85	1469	239
86	1484	221
87	1502	204
88	1518	187
89	1535	170
90	1552	153
91	1569	136
92	1587	119
93	1604	102
94	1620	85
95	1639	68
96	1655	51
97	1672	34
98	1690	17
99	1706	0
